id, model_id, name, year_start, year_end, type_id, created_at, udpated_at
1,2123,2 generation,2013,2019,1,2019-07-15 15:01:16,2019-07-15 15:01:16
4,7,2 generation,2001,2003,1,2019-07-15 15:01:16,2019-07-15 15:01:16
8,9,1 generation,1991,2002,1,2019-07-15 15:01:16,2019-07-15 15:01:16
11,11,3 generation,2013,2019,1,2019-07-15 15:01:16,2019-07-15 15:01:16
12,11,2 generation,2006,2009,1,2019-07-15 15:01:16,2019-07-15 15:01:16
13,11,1 generation,2001,2006,1,2019-07-15 15:01:16,2019-07-15 15:01:16
14,13,2 generation,2012,2019,1,2019-07-15 15:01:16,2019-07-15 15:01:16
15,13,1 generation,2006,2010,1,2019-07-15 15:01:16,2019-07-15 15:01:16
16,14,KB1,2004,2008,1,2019-07-15 15:01:16,2019-07-15 15:01:16
18,18,4 generation,2008,2011,1,2019-07-15 15:01:16,2019-07-15 15:01:16
19,18,3 generation,2003,2008,1,2019-07-15 15:01:16,2019-07-15 15:01:16
20,18,2 generation,1998,2003,1,2019-07-15 15:01:16,2019-07-15 15:01:16
21,18,1 generation,1995,1998,1,2019-07-15 15:01:16,2019-07-15 15:01:16
22,19,2 generation,2008,2010,1,2019-07-15 15:01:16,2019-07-15 15:01:16
23,19,1 generation,2003,2008,1,2019-07-15 15:01:16,2019-07-15 15:01:16
28,28,936,1998,2007,1,2019-07-15 15:01:16,2019-07-15 15:01:16
29,29,907,1990,1994,1,2019-07-15 15:01:16,2019-07-15 15:01:16
35,40,116,1977,1981,1,2019-07-15 15:01:16,2019-07-15 15:01:16
36,47,939,2006,2010,1,2019-07-15 15:01:16,2019-07-15 15:01:16
37,47,916,1995,2006,1,2019-07-15 15:01:16,2019-07-15 15:01:16
38,47,115,1990,1993,1,2019-07-15 15:01:16,2019-07-15 15:01:16
43,63,1 generation [restyling],2008,2012,1,2019-07-15 15:01:16,2019-07-15 15:01:16
46,67,1 generation [restyling],2013,2019,1,2019-07-15 15:01:16,2019-07-15 15:01:16
